family	group	haps	group_specific_exact_candidates	group_enriched_exact_candidates
HSat2	G1	158	102	38
HSat2	G2	42	1	21
HSat2	G3	289	178	68
HSat3	G1	59	94	120
HSat3	G2	54	0	31
HSat3	G3	70	0	25
HSat3	G4	39	0	0
HSat3	G5	47	75	277
HSat3	G6	47	0	293
HSat3	G7	126	0	489
