log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-6.112066983315061	-9.0	0
-9.0	-7.141243591807147	0
-9.0	-6.663098394700409	0
-9.0	-6.431969527296081	0
-9.0	-5.778672374563894	0
-6.206303886045699	-8.95305205497169	0
-6.674107753734448	-9.0	0
-6.537199246825191	-9.0	0
-6.204672982570243	-9.0	0
-4.980265622373178	-9.0	1
-9.0	-6.47343246699272	0
-6.411521365156786	-9.0	0
-9.0	-5.664764027604348	0
-9.0	-6.1250650621315135	0
-9.0	-6.533774445090127	0
-4.360874730276312	-6.752498307166593	1
-8.9162473954347	-5.173040288384558	0
-9.0	-5.84184438951502	0
-9.0	-5.441166112579694	0
-9.0	-5.582708283787826	1
-9.0	-5.878108206507181	0
-9.0	-6.472842945466176	0
-9.0	-5.843535561536243	0
-6.376735460170171	-9.0	0
-9.0	-6.487978988889693	0
-9.0	-6.201507334413187	0
-9.0	-7.712648065690482	0
-4.297350789003482	-9.0	1
-7.008817286225865	-9.0	0
-9.0	-5.400469490155673	1
-9.0	-5.992567582183358	0
-9.0	-6.759565863939859	0
-9.0	-7.208675723447213	0
-6.089525835556039	-9.0	0
-9.0	-6.650501178222411	0
-6.363736211016277	-9.0	0
-9.0	-6.180722842556097	0
-9.0	-5.583486648733259	0
-9.0	-5.212445271415925	1
-9.0	-5.577129881733055	0
-9.0	-6.205229252632882	0
-9.0	-6.201822854548964	0
-9.0	-6.720088540622349	0
-9.0	-6.174232095521812	0
-9.0	-6.688960260250888	0
-9.0	-4.8831811372923735	1
-6.694421203342967	-9.0	0
-6.566147546976403	-9.0	0
-9.0	-7.33635948861913	0
-5.996073790402136	-9.0	0
-9.0	-6.278050991289442	0
-9.0	-6.152848047758133	0
-5.682844883171661	-9.0	0
-5.473574291679172	-9.0	0
-9.0	-6.505404381837986	0
-6.433513164710728	-9.0	0
-6.795614132883561	-5.844193098077962	0
-9.0	-7.264182896827333	0
-9.0	-5.969319362370508	0
-9.0	-6.342952973598195	0
-9.0	-6.219950426428582	0
-6.423723816293918	-9.0	0
-6.079982248849377	-6.1749732429747635	0
-9.0	-5.403007749792146	1
-6.289643329846406	-9.0	0
-9.0	-5.709670123853587	0
-8.956107883465604	-4.1799014450062515	1
-6.108553978808265	-9.0	0
-5.133805188082696	-9.0	0
-5.782951942237986	-9.0	0
-6.605463319759751	-9.0	0
-7.051891050781503	-6.620519619950809	0
-9.0	-5.597544863651401	0
-8.585823509344864	-5.394735166935623	0
-6.82116119107042	-3.516867925967254	1
-6.642568504174084	-7.3792866207644146	0
-9.0	-5.83341834954236	0
-9.0	-6.14961738555383	0
-6.609203386957695	-9.0	0
-8.956107883465604	-6.600107093557308	0
-6.009318473150629	-7.608512258987268	0
-4.250818589864068	-6.479671243314602	1
-9.0	-5.772638667801039	0
-7.864691707426147	-5.148184195899146	0
-5.219872296020434	-9.0	1
-9.0	-6.7430673619461565	0
-6.234850822631636	-9.0	0
-5.974946402246925	-9.0	0
-6.36416330861718	-9.0	0
-7.280946213688642	-5.558509770338914	0
-8.879739807765889	-5.848054520923042	0
-6.020987840643238	-9.0	0
-5.869586213654452	-8.95305205497169	0
-7.012129265893295	-9.0	0
-5.28684156004867	-8.377111999294664	0
-5.948477468185373	-9.0	0
-5.4159834964749045	-9.0	0
-6.668689575900164	-9.0	0
-6.164488755271519	-9.0	0
-9.0	-7.146769396815304	0
-9.0	-5.858486922591781	0
-9.0	-5.462982439452313	0
-9.0	-6.752217983256961	0
-5.611286070143257	-9.0	1
-4.242017172442639	-9.0	1
-7.801824202422296	-8.515003334109574	0
-8.073429945326627	-6.8167540162049765	0
-4.97027452077706	-9.0	1
-5.495503334136297	-6.69851225588536	0
-9.0	-5.9618990711081725	0
-9.0	-5.635269625455425	0
-9.0	-5.472163572520958	0
-6.936078342016959	-5.826846518857229	0
-9.0	-5.458299820882943	1
-9.0	-6.1244703426272	0
-9.0	-6.436415909234046	0
-6.362351037464162	-5.701939060411108	0
-9.0	-5.7385860559648405	0
