prevalence_fraction	max_chromosome_count_fraction	dominant_chromosome_recurrence
0.62478184991274	0.9999530626613471	1.0
0.6230366492146597	1.0	1.0
0.5881326352530541	1.0	1.0
0.5916230366492147	1.0	1.0
0.6055846422338569	1.0	1.0
0.6230366492146597	1.0	1.0
0.26352530541012215	1.0	1.0
0.9982547993019197	0.6492291046794698	1.0
0.5898778359511344	1.0	1.0
0.6178010471204188	1.0	1.0
0.5514834205933682	1.0	1.0
0.6212914485165794	1.0	1.0
0.6230366492146597	1.0	1.0
0.6178010471204188	1.0	1.0
0.643979057591623	1.0	1.0
0.4083769633507853	1.0	1.0
0.02443280977312391	0.998323140658907	1.0
0.6369982547993019	0.9990354609929079	1.0
0.006980802792321117	1.0	1.0
0.9092495636998255	0.7318952234206472	0.7244897959183674
0.912739965095986	1.0	1.0
0.8760907504363001	0.9568577577773429	0.988795518207283
0.19895287958115182	0.5265700483091788	0.1926605504587156
0.9965095986038395	0.7409582079242117	0.93812375249501
0.6212914485165794	1.0	1.0
0.19720767888307156	1.0	1.0
0.6230366492146597	1.0	1.0
0.5916230366492147	1.0	1.0
0.008726003490401396	0.9945945945945946	1.0
0.6178010471204188	1.0	1.0
1.0	0.3570605977515766	0.8231441048034934
0.9982547993019197	0.48163589438157633	0.7729257641921398
0.7399650959860384	1.0	1.0
0.4677137870855148	1.0	1.0
0.25654450261780104	1.0	1.0
0.31413612565445026	1.0	1.0
0.7225130890052356	0.9953940711127506	1.0
0.9546247818499127	0.9721007307598273	1.0
0.62478184991274	0.9833451452870304	0.9942028985507246
0.62478184991274	0.999892055267703	1.0
0.39267015706806285	1.0	1.0
0.6230366492146597	1.0	1.0
0.9389179755671903	0.6147334706016929	0.6280373831775701
0.6631762652705061	0.9939694927279177	1.0
0.4956369982547993	0.997822931785196	0.9894366197183099
0.08202443280977312	0.9795918367346939	0.9574468085106383
0.7801047120418848	1.0	1.0
0.9982547993019197	0.5472679965307893	0.9915966386554622
0.6422338568935427	0.9978956947051129	1.0
1.0	0.4282542650151905	0.9914529914529915
0.9965095986038395	0.49497229632669815	0.6386404293381037
0.9982547993019197	0.708733850129199	0.6384892086330936
0.7696335078534031	1.0	1.0
0.5724258289703316	0.6790780141843972	0.9716981132075472
0.893542757417103	0.9876867178037949	0.9978118161925602
0.6335078534031413	0.9896039603960396	0.9971509971509972
0.7905759162303665	1.0	1.0
