midpoint	count
0.025	80632
0.07500000000000001	1977
0.125	1146
0.17500000000000002	774
0.225	616
0.275	561
0.32500000000000007	493
0.375	532
0.42500000000000004	457
0.475	463
0.525	428
0.5750000000000001	469
0.625	533
0.675	588
0.7250000000000001	634
0.775	770
0.8250000000000001	929
0.875	1248
0.925	1914
0.9750000000000001	64824
